continent, country_label, temperature, rainfall, population, code
1,china,0.567583209721,0.907606976387,1337705000,chn
1,india,0.195952147849,0.89072016098,1205624648,ind
2,unitedstates,-0.496567004876,1.03987578274,309326225,usa
1,indonesia,-0.190329437206,0.797558531056,240676485,idn
3,brazil,0.0816557844134,0.926426045027,195210154,bra
1,pakistan,0.274976742302,1.29099590246,173149306,pak
4,nigeria,-0.334525788566,1.05257682112,159707780,nga
1,bangladesh,-0.0988220686058,1.01344586994,151125475,bgd
1,japan,-0.076382981399,0.864480492127,127450459,jpn
3,mexico,-0.537659260643,0.895574512435,117886404,mex
1,philippines,-0.766619652907,0.868064625495,93444322,phl
4,ethiopia,-0.16431523866,1.11683824947,87095281,eth
2,germany,0.226789197767,1.04570711016,81776930,deu
4,egypt,-0.696494702865,0.998643575477,78075705,egy
2,turkey,-1.30766400309,1.33369856985,72137546,tur
1,thailand,0.494335825159,0.777549501371,66402316,tha
2,france,0.0785892539497,1.21717114118,65031235,fra
2,unitedkingdom,0.62922461522,1.04774376138,62747868,gbr
2,italy,-0.63143252013,1.12958489612,60483385,ita
1,myanmar,0.267293433376,0.897109114381,51931231,mmr
4,southafrica,0.151886932469,0.694394339788,50895698,zaf
2,spain,-0.103324379451,1.17777017449,46576897,esp
3,colombia,0.584151053979,0.663397693459,46444798,col
2,ukraine,-0.694102819806,1.0313040647,45870700,ukr
