continent, country_label, temperature, rainfall, population, code
1,china,-0.709406702948,1.01168257131,1337705000,chn
1,india,0.375024250308,0.856809501549,1205624648,ind
2,unitedstates,-0.790978711525,1.10425158623,309326225,usa
1,indonesia,-0.270709684844,1.05686094697,240676485,idn
3,brazil,0.207660992995,0.844645058266,195210154,bra
1,pakistan,-0.568245555958,0.74758941923,173149306,pak
4,nigeria,-0.260954989966,1.10788408632,159707780,nga
1,bangladesh,0.920210019354,0.656364532209,151125475,bgd
1,japan,-1.51759434521,1.23204278697,127450459,jpn
3,mexico,-1.33402778699,1.31158777471,117886404,mex
1,philippines,0.248676605921,0.930994922475,93444322,phl
4,ethiopia,-0.0542377082285,1.04332949517,87095281,eth
2,germany,0.172535445444,1.09344943786,81776930,deu
4,egypt,-0.146160950442,1.06032151317,78075705,egy
2,turkey,-0.481760163334,1.10204929171,72137546,tur
1,thailand,0.567348037099,1.07271941779,66402316,tha
2,france,0.153373870853,1.18713720344,65031235,fra
2,unitedkingdom,-0.564529165465,1.12149453802,62747868,gbr
2,italy,0.815397846535,0.912278952195,60483385,ita
1,myanmar,0.637429160548,0.942817265522,51931231,mmr
4,southafrica,-0.0372851507648,1.1270119663,50895698,zaf
2,spain,0.0123167104389,0.922834859229,46576897,esp
3,colombia,0.200070273851,0.935330235646,46444798,col
2,ukraine,-0.778937364187,1.06637524993,45870700,ukr
