continent, country_label, temperature, rainfall, population, code
1,china,2.4850000214,0.91844876263,1337705000,chn
1,india,1.82659516829,0.932991707723,1205624648,ind
2,unitedstates,2.83741947901,0.955674442591,309326225,usa
1,indonesia,1.08515780201,1.17682007412,240676485,idn
3,brazil,1.52763079896,1.09080999637,195210154,bra
1,pakistan,3.04579158345,0.482240899175,173149306,pak
4,nigeria,1.98062235869,0.842505114183,159707780,nga
1,bangladesh,1.30278344755,1.08597232907,151125475,bgd
1,japan,2.01510906095,0.860096495657,127450459,jpn
3,mexico,2.85002143427,0.672091071482,117886404,mex
1,philippines,1.0485562747,1.72082628622,93444322,phl
4,ethiopia,1.86366544819,0.971389767053,87095281,eth
2,germany,1.71907723277,1.13686090816,81776930,deu
4,egypt,1.95316880692,0.770327233181,78075705,egy
2,turkey,2.9370688948,0.641228942806,72137546,tur
1,thailand,0.706642145961,0.819533353694,66402316,tha
2,france,1.02300847898,0.976544945632,65031235,fra
2,unitedkingdom,1.0288554206,1.06689514286,62747868,gbr
2,italy,1.69930950571,0.75565002361,60483385,ita
1,myanmar,1.18635563126,0.880725082098,51931231,mmr
4,southafrica,2.70261724701,0.782316825801,50895698,zaf
2,spain,1.30937665689,0.997540840965,46576897,esp
3,colombia,1.26370961485,1.0520750891,46444798,col
2,ukraine,3.71791803633,0.696488738886,45870700,ukr
