continent, country_label, temperature, rainfall, population, code
1,china,-0.222875058522,1.07271877602,1337705000,chn
1,india,-0.435070624273,1.10671424615,1205624648,ind
2,unitedstates,0.200799498432,1.02708879355,309326225,usa
1,indonesia,0.0386294448438,1.10062914093,240676485,idn
3,brazil,-1.30807940414,1.34206572614,195210154,bra
1,pakistan,0.258572455506,0.850330674639,173149306,pak
4,nigeria,-0.786006463209,0.965820539293,159707780,nga
1,bangladesh,-0.89155689073,1.18932446777,151125475,bgd
1,japan,0.120797887753,0.961175347941,127450459,jpn
3,mexico,-0.245637589533,1.34887127117,117886404,mex
1,philippines,0.0494638334686,1.34826485621,93444322,phl
4,ethiopia,-0.714199570028,1.08832562519,87095281,eth
2,germany,0.378342620299,0.827527263495,81776930,deu
4,egypt,0.0302000208023,0.723049159546,78075705,egy
2,turkey,-0.410036740599,0.899464261395,72137546,tur
1,thailand,-1.29771620549,0.931014289965,66402316,tha
2,france,1.58055949097,0.629747142529,65031235,fra
2,unitedkingdom,0.423691956451,1.14784673207,62747868,gbr
2,italy,0.706027913064,0.723516909966,60483385,ita
1,myanmar,-1.16100624274,0.986567714805,51931231,mmr
4,southafrica,-0.459921415028,1.1897805799,50895698,zaf
2,spain,1.44071805234,0.595440958219,46576897,esp
3,colombia,-1.51969542635,1.62376278125,46444798,col
2,ukraine,-0.244980296319,1.03273512336,45870700,ukr
