continent, country_label, temperature, rainfall, population, code
1,china,2.07306542474,1.07812060529,1337705000,chn
1,india,2.99317211401,0.721920501835,1205624648,ind
2,unitedstates,1.89728701182,1.26476525881,309326225,usa
1,indonesia,2.2351943423,0.803581249546,240676485,idn
3,brazil,3.78328284121,0.708196086302,195210154,bra
1,pakistan,2.56446251141,0.960707687119,173149306,pak
4,nigeria,2.69804507487,0.771889534914,159707780,nga
1,bangladesh,2.09748092571,1.01709282942,151125475,bgd
1,japan,2.05208034449,0.969327641292,127450459,jpn
3,mexico,1.36025485942,0.826048090501,117886404,mex
1,philippines,1.75180283587,0.876216196001,93444322,phl
4,ethiopia,2.47073202742,0.7988513198,87095281,eth
2,germany,2.13289106675,0.874346817553,81776930,deu
4,egypt,1.72597805571,1.39289846529,78075705,egy
2,turkey,1.10924591014,0.851198843463,72137546,tur
1,thailand,2.05774832215,0.89537735032,66402316,tha
2,france,1.71091039617,1.03478362355,65031235,fra
2,unitedkingdom,2.07841969666,0.923939194201,62747868,gbr
2,italy,1.70615985847,1.04242156809,60483385,ita
1,myanmar,2.02530628443,1.01356648847,51931231,mmr
4,southafrica,2.97469138626,0.694334892718,50895698,zaf
2,spain,0.942588233972,1.17050139683,46576897,esp
3,colombia,3.28804717183,0.833400359463,46444798,col
2,ukraine,0.744343104062,1.09445811229,45870700,ukr
