continent, country_label, temperature, rainfall, population, code
1,china,2.63497171037,0.817222279542,1337705000,chn
1,india,2.49594826609,0.90952405059,1205624648,ind
2,unitedstates,3.0889705093,1.04499443156,309326225,usa
1,indonesia,1.80061011105,0.856521746137,240676485,idn
3,brazil,2.79689812855,0.876627829221,195210154,bra
1,pakistan,3.07980628334,0.586151360695,173149306,pak
4,nigeria,3.06692926432,0.911978110959,159707780,nga
1,bangladesh,2.47603834264,0.947473959163,151125475,bgd
1,japan,2.21057288758,0.773969508422,127450459,jpn
3,mexico,3.21685114172,0.55203084306,117886404,mex
1,philippines,1.4056266711,0.98959878337,93444322,phl
4,ethiopia,2.78589468975,0.877581008557,87095281,eth
2,germany,1.79735068782,1.10285746653,81776930,deu
4,egypt,2.90019987476,0.327691874155,78075705,egy
2,turkey,4.14408762816,0.619367165698,72137546,tur
1,thailand,1.85627655851,0.858373327924,66402316,tha
2,france,2.75417881933,0.980646116956,65031235,fra
2,unitedkingdom,0.93746362821,1.19636809896,62747868,gbr
2,italy,2.94498541524,0.758855536622,60483385,ita
1,myanmar,2.3035067341,0.890844516909,51931231,mmr
4,southafrica,2.39621712972,0.920676788883,50895698,zaf
2,spain,3.35575040343,0.760684553369,46576897,esp
3,colombia,2.28299006936,0.994416038048,46444798,col
2,ukraine,2.91766873298,1.07242101151,45870700,ukr
