continent, country_label, temperature, rainfall, population, code
1,china,0.696070717744,0.90540691315,1337705000,chn
1,india,0.546676984605,0.807099778516,1205624648,ind
2,unitedstates,-0.0994489631088,0.99976881203,309326225,usa
1,indonesia,0.118683652004,0.668498445876,240676485,idn
3,brazil,0.788584974456,0.725210543393,195210154,bra
1,pakistan,-0.109742923856,1.18448947624,173149306,pak
4,nigeria,-0.00628166518964,1.01017748272,159707780,nga
1,bangladesh,1.31885091369,0.743850032598,151125475,bgd
1,japan,0.669570436998,1.02359865703,127450459,jpn
3,mexico,-0.114724941102,0.846585700026,117886404,mex
1,philippines,-0.359740507176,1.00909850735,93444322,phl
4,ethiopia,0.152453986583,0.967334274281,87095281,eth
2,germany,0.973787992485,1.04446761121,81776930,deu
4,egypt,-0.402960775606,1.17992549653,78075705,egy
2,turkey,-0.701313017002,1.13839211361,72137546,tur
1,thailand,0.588675511192,0.887921693502,66402316,tha
2,france,0.713162347906,0.944728635977,65031235,fra
2,unitedkingdom,0.9286494942,1.1877193956,62747868,gbr
2,italy,0.548322493629,0.82335440294,60483385,ita
1,myanmar,1.04392106469,0.860155537269,51931231,mmr
4,southafrica,-0.295323095166,0.994684102903,50895698,zaf
2,spain,0.63819061027,0.710956413696,46576897,esp
3,colombia,0.759482213532,0.713263614746,46444798,col
2,ukraine,1.02450719732,0.833237485748,45870700,ukr
