continent, country_label, temperature, rainfall, population, code
1,china,-0.0500528126454,1.08841307425,1337705000,chn
1,india,0.23373038406,0.814511909209,1205624648,ind
2,unitedstates,-0.837662739175,1.20866028588,309326225,usa
1,indonesia,0.591054047756,0.730664856676,240676485,idn
3,brazil,0.791760732511,0.811756275787,195210154,bra
1,pakistan,0.0110144931236,0.843711760863,173149306,pak
4,nigeria,0.266867291472,1.08100340379,159707780,nga
1,bangladesh,0.105007281358,1.04814828271,151125475,bgd
1,japan,0.413764582943,0.933504690072,127450459,jpn
3,mexico,-0.344873147811,0.950378803265,117886404,mex
1,philippines,0.130623880608,0.864812405565,93444322,phl
4,ethiopia,0.100395977926,1.10254536164,87095281,eth
2,germany,1.64145641216,1.00716266993,81776930,deu
4,egypt,-0.324481558742,1.41826507131,78075705,egy
2,turkey,0.0433845127646,1.17471864626,72137546,tur
1,thailand,0.686708366659,0.935995502474,66402316,tha
2,france,0.578164806516,1.12838036773,65031235,fra
2,unitedkingdom,0.441904665193,1.11591629309,62747868,gbr
2,italy,0.278449903544,0.947204319054,60483385,ita
1,myanmar,0.202966157271,1.00706969132,51931231,mmr
4,southafrica,0.988272590113,1.08988682719,50895698,zaf
2,spain,-0.179878730596,1.11054640144,46576897,esp
3,colombia,0.917486407855,0.737452091863,46444798,col
2,ukraine,1.4349022898,1.02886360847,45870700,ukr
