continent, country_label, temperature, rainfall, population, code
1,china,-0.0453196949123,1.01616128114,1337705000,chn
1,india,-0.0597715625579,0.99076873549,1205624648,ind
2,unitedstates,0.606907555403,1.05284000995,309326225,usa
1,indonesia,-0.435367184567,0.909764759999,240676485,idn
3,brazil,-0.318276418021,1.03319157947,195210154,bra
1,pakistan,0.648998868987,0.594650634863,173149306,pak
4,nigeria,-0.0917333320345,1.18098164727,159707780,nga
1,bangladesh,-0.431236639205,1.21688556249,151125475,bgd
1,japan,-0.204454881448,1.06668322275,127450459,jpn
3,mexico,-0.198851732732,0.707819756162,117886404,mex
1,philippines,-0.353604957486,1.15395998056,93444322,phl
4,ethiopia,0.219897293431,0.937639930044,87095281,eth
2,germany,-0.938731644557,0.898320257059,81776930,deu
4,egypt,0.716691658942,0.544959768824,78075705,egy
2,turkey,0.529548221945,1.04415584155,72137546,tur
1,thailand,-0.154611517692,0.914314548117,66402316,tha
2,france,-0.5075856824,0.834187196001,65031235,fra
2,unitedkingdom,-0.578960778044,0.806825788711,62747868,gbr
2,italy,-0.442452641614,1.05438023,60483385,ita
1,myanmar,-0.100007314911,0.988790840426,51931231,mmr
4,southafrica,-0.92616242594,1.25390593337,50895698,zaf
2,spain,-0.70119196837,1.19978655926,46576897,esp
3,colombia,-0.416380785221,1.02691561943,46444798,col
2,ukraine,-0.0993384095301,1.09703781014,45870700,ukr
