continent, country_label, temperature, rainfall, population, code
1,china,2.91940110569,0.958356757477,1337705000,chn
1,india,2.52893229866,1.04955222204,1205624648,ind
2,unitedstates,3.07544503629,1.18571297184,309326225,usa
1,indonesia,2.0485235417,0.932340307044,240676485,idn
3,brazil,3.38446980818,0.806674198683,195210154,bra
1,pakistan,3.53288722499,0.848345282593,173149306,pak
4,nigeria,2.56254492952,1.03058004029,159707780,nga
1,bangladesh,1.77317978119,1.15378996821,151125475,bgd
1,japan,1.91742540751,1.05920243358,127450459,jpn
3,mexico,2.99968719562,0.898576778634,117886404,mex
1,philippines,1.96564168448,1.23043331918,93444322,phl
4,ethiopia,2.73659258124,1.05518599043,87095281,eth
2,germany,3.18972209985,0.908953585188,81776930,deu
4,egypt,2.69454309671,1.32743170475,78075705,egy
2,turkey,3.14802297096,0.682232535336,72137546,tur
1,thailand,2.56565605935,0.977515334859,66402316,tha
2,france,3.58196494474,0.856934354318,65031235,fra
2,unitedkingdom,2.23332711474,1.03719514513,62747868,gbr
2,italy,3.34735971219,0.786670476922,60483385,ita
1,myanmar,2.62107121823,0.965347151165,51931231,mmr
4,southafrica,3.14791377437,0.73152239741,50895698,zaf
2,spain,2.61478269505,0.998282333995,46576897,esp
3,colombia,2.89842522004,1.21585143633,46444798,col
2,ukraine,2.50451876437,0.81405488441,45870700,ukr
