continent, country_label, temperature, rainfall, population, code
1,china,2.43719018636,1.07700558915,1337705000,chn
1,india,1.68640323115,1.34531160554,1205624648,ind
2,unitedstates,2.93037587819,0.99112125985,309326225,usa
1,indonesia,1.88024068733,1.29012912704,240676485,idn
3,brazil,1.2336025544,1.07461883553,195210154,bra
1,pakistan,2.96244758824,0.978587722179,173149306,pak
4,nigeria,1.72361512539,0.922711282171,159707780,nga
1,bangladesh,1.77963120707,1.20471848019,151125475,bgd
1,japan,2.31179527094,1.17436782326,127450459,jpn
3,mexico,2.0984860991,1.0903359737,117886404,mex
1,philippines,2.16227595661,1.08320405175,93444322,phl
4,ethiopia,1.6427429337,1.44033700008,87095281,eth
2,germany,1.97940776108,1.04145227152,81776930,deu
4,egypt,3.1406371487,0.286590197418,78075705,egy
2,turkey,3.72893863701,0.477932445966,72137546,tur
1,thailand,0.0637596505758,1.4893926782,66402316,tha
2,france,2.80795502186,0.709215858293,65031235,fra
2,unitedkingdom,1.22030361454,0.971813209833,62747868,gbr
2,italy,3.24471583853,0.639614006069,60483385,ita
1,myanmar,0.879623501996,1.28778299317,51931231,mmr
4,southafrica,2.1463530313,0.939398247632,50895698,zaf
2,spain,2.99009543244,0.609539101333,46576897,esp
3,colombia,1.18049763288,1.05285580012,46444798,col
2,ukraine,2.7378029859,0.626461155082,45870700,ukr
