continent, country_label, temperature, rainfall, population, code
1,china,2.60495103678,1.07038324496,1337705000,chn
1,india,3.0797273652,0.851747096679,1205624648,ind
2,unitedstates,2.61639077784,1.0210300955,309326225,usa
1,indonesia,1.51448369275,1.05168425497,240676485,idn
3,brazil,2.78447829355,0.825517651881,195210154,bra
1,pakistan,3.43981419622,0.70833098695,173149306,pak
4,nigeria,2.51496490493,0.851161875647,159707780,nga
1,bangladesh,2.93317088158,1.20733231454,151125475,bgd
1,japan,1.85190117716,0.908747836726,127450459,jpn
3,mexico,2.70485323265,0.878062998495,117886404,mex
1,philippines,1.47900119328,1.12074131571,93444322,phl
4,ethiopia,1.81113377229,1.59673249316,87095281,eth
2,germany,0.189999237775,1.1456206347,81776930,deu
4,egypt,2.85188888411,0.399703381109,78075705,egy
2,turkey,3.49847548596,0.601224954551,72137546,tur
1,thailand,1.90560866999,0.803575091982,66402316,tha
2,france,1.93379161933,1.01629020469,65031235,fra
2,unitedkingdom,0.316417844545,1.05898178937,62747868,gbr
2,italy,2.24416145886,0.884771477597,60483385,ita
1,myanmar,2.67756343251,0.875563856601,51931231,mmr
4,southafrica,2.66194100209,1.0234867963,50895698,zaf
2,spain,2.77452021176,1.07572163766,46576897,esp
3,colombia,2.75896116584,0.88823018496,46444798,col
2,ukraine,1.81369859257,1.10004769908,45870700,ukr
