continent, country_label, temperature, rainfall, population, code
1,china,0.200949528099,0.904002733178,1337705000,chn
1,india,-0.263354593225,1.01958963186,1205624648,ind
2,unitedstates,0.100048436374,1.01900710289,309326225,usa
1,indonesia,0.247564643177,0.625798121829,240676485,idn
3,brazil,0.0433897054116,0.924852331959,195210154,bra
1,pakistan,-0.0919059069106,1.0618883667,173149306,pak
4,nigeria,-0.125592742216,0.723098052573,159707780,nga
1,bangladesh,-0.327334812406,1.05231558651,151125475,bgd
1,japan,-0.260793612939,0.880541133272,127450459,jpn
3,mexico,-0.415914864269,0.892374735849,117886404,mex
1,philippines,-0.356218454217,0.60354236817,93444322,phl
4,ethiopia,-0.176313969056,1.34776096049,87095281,eth
2,germany,0.355104529726,1.11899202496,81776930,deu
4,egypt,-0.113538681593,1.65147678109,78075705,egy
2,turkey,-0.542710150282,0.984751419635,72137546,tur
1,thailand,0.615432973305,0.806729892856,66402316,tha
2,france,-0.341781170822,1.2234654385,65031235,fra
2,unitedkingdom,0.321220365962,0.897738215694,62747868,gbr
2,italy,-0.140778583559,1.15322387283,60483385,ita
1,myanmar,0.212322784103,0.957354046572,51931231,mmr
4,southafrica,0.175279286807,0.678706709471,50895698,zaf
2,spain,-0.909428130739,1.28213819602,46576897,esp
3,colombia,0.643921171245,0.798628771763,46444798,col
2,ukraine,-0.805108794749,1.15692952763,45870700,ukr
