continent, country_label, temperature, rainfall, population, code
1,china,0.55722810537,0.873019862814,1337705000,chn
1,india,-0.0166832185949,1.05074678618,1205624648,ind
2,unitedstates,0.833401452603,0.856924563933,309326225,usa
1,indonesia,-0.386395459715,1.18005969076,240676485,idn
3,brazil,-0.48959357587,1.03139955178,195210154,bra
1,pakistan,-0.539795809029,2.1706186907,173149306,pak
4,nigeria,-0.987813482458,1.07022770018,159707780,nga
1,bangladesh,-0.117067970817,0.918997984335,151125475,bgd
1,japan,-0.0425972083402,1.00580940766,127450459,jpn
3,mexico,-0.0256888422635,0.831744597931,117886404,mex
1,philippines,-0.120883952627,1.39317815296,93444322,phl
4,ethiopia,-0.69619079667,1.04860695478,87095281,eth
2,germany,-0.452610232064,1.0330314209,81776930,deu
4,egypt,0.226353911851,1.34310432856,78075705,egy
2,turkey,0.233539444172,0.895623916475,72137546,tur
1,thailand,-0.915030347055,1.08171619711,66402316,tha
2,france,-0.434209738958,0.86437918724,65031235,fra
2,unitedkingdom,0.606918159483,0.728629856718,62747868,gbr
2,italy,-0.258920315569,0.761107612419,60483385,ita
1,myanmar,-0.500304135005,1.1188579849,51931231,mmr
4,southafrica,-1.28839440942,1.12842293163,50895698,zaf
2,spain,-0.182847062407,0.904851581841,46576897,esp
3,colombia,-0.182685830729,0.808941825244,46444798,col
2,ukraine,-0.524476555745,0.922123138732,45870700,ukr
