continent, country_label, temperature, rainfall, population, code
1,china,3.00272407202,0.958605839973,1337705000,chn
1,india,2.53749109288,0.886252871578,1205624648,ind
2,unitedstates,2.49209727166,1.23886676705,309326225,usa
1,indonesia,1.35917043481,0.990586003739,240676485,idn
3,brazil,2.73404277738,0.774762561123,195210154,bra
1,pakistan,2.70122228578,0.892910837112,173149306,pak
4,nigeria,2.38369587486,0.799986973701,159707780,nga
1,bangladesh,2.62048923974,0.986212083223,151125475,bgd
1,japan,2.55189943682,0.874979961412,127450459,jpn
3,mexico,2.92001995511,0.796506560995,117886404,mex
1,philippines,1.23887821962,1.22811003018,93444322,phl
4,ethiopia,2.23532305598,1.14959497841,87095281,eth
2,germany,1.9678962796,1.0343811733,81776930,deu
4,egypt,1.86003723329,1.72458658614,78075705,egy
2,turkey,1.29897399563,1.0636611915,72137546,tur
1,thailand,1.44960567448,1.14252022208,66402316,tha
2,france,2.7331844926,0.791652689728,65031235,fra
2,unitedkingdom,1.72846465775,1.0582107334,62747868,gbr
2,italy,2.86253111156,0.625730436019,60483385,ita
1,myanmar,1.91798922099,1.15629551631,51931231,mmr
4,southafrica,2.68846387842,1.0607493122,50895698,zaf
2,spain,3.36607810693,0.627951370797,46576897,esp
3,colombia,3.07113523969,0.663754039313,46444798,col
2,ukraine,1.16709060389,1.01128506523,45870700,ukr
