continent, country_label, temperature, rainfall, population, code
1,china,0.291933548155,0.893718726225,1337705000,chn
1,india,-0.817533923862,1.28838331271,1205624648,ind
2,unitedstates,-0.107623021699,0.914192343647,309326225,usa
1,indonesia,-0.528142170199,1.33638814318,240676485,idn
3,brazil,-0.76357054167,1.06874410931,195210154,bra
1,pakistan,-0.259580775388,1.40531541445,173149306,pak
4,nigeria,-0.530692223173,1.08228910498,159707780,nga
1,bangladesh,-0.188676672306,1.08294014385,151125475,bgd
1,japan,0.304560201257,1.03116090681,127450459,jpn
3,mexico,0.696898304457,0.955472453173,117886404,mex
1,philippines,-0.0975203895314,0.863781265272,93444322,phl
4,ethiopia,-0.939151407757,1.29620150618,87095281,eth
2,germany,-0.345993769528,0.952817293468,81776930,deu
4,egypt,0.283930933011,0.36339622742,78075705,egy
2,turkey,0.739444680242,0.916653252751,72137546,tur
1,thailand,-0.979359816378,1.25342882788,66402316,tha
2,france,-0.398666038066,1.17399556402,65031235,fra
2,unitedkingdom,-0.0256444072548,0.952048664708,62747868,gbr
2,italy,-0.580094931569,1.1757996168,60483385,ita
1,myanmar,-0.346863073078,1.16845220535,51931231,mmr
4,southafrica,-1.01258885125,1.18996819368,50895698,zaf
2,spain,-0.000406188541906,1.21974605814,46576897,esp
3,colombia,-0.863354644111,1.24401333679,46444798,col
2,ukraine,0.716866013979,1.10445871045,45870700,ukr
