continent, country_label, temperature, rainfall, population, code
1,china,2.75404282485,1.00659175073,1337705000,chn
1,india,2.38328667752,0.873996714351,1205624648,ind
2,unitedstates,2.97779020256,0.946358492625,309326225,usa
1,indonesia,1.0563859298,1.25743353934,240676485,idn
3,brazil,1.57890747603,0.993536373805,195210154,bra
1,pakistan,2.95180503065,0.401817444881,173149306,pak
4,nigeria,1.37932526996,0.791817218028,159707780,nga
1,bangladesh,2.69891287356,1.07517264369,151125475,bgd
1,japan,2.5603731715,0.918255088071,127450459,jpn
3,mexico,2.09663382873,1.06135873207,117886404,mex
1,philippines,1.32454425124,1.52216707558,93444322,phl
4,ethiopia,1.98283095088,0.697267266321,87095281,eth
2,germany,2.14267878705,1.09452500621,81776930,deu
4,egypt,1.93373815165,0.447046524791,78075705,egy
2,turkey,3.30443700068,0.694947397928,72137546,tur
1,thailand,0.234951457031,1.17910996136,66402316,tha
2,france,2.0328950788,0.94027758648,65031235,fra
2,unitedkingdom,2.09465480333,1.1917570003,62747868,gbr
2,italy,2.48039792001,0.750457125229,60483385,ita
1,myanmar,1.86599199214,1.1197685343,51931231,mmr
4,southafrica,0.819258428106,1.20976193334,50895698,zaf
2,spain,2.60941800835,0.709578177278,46576897,esp
3,colombia,1.40429871851,1.00876071391,46444798,col
2,ukraine,3.60272657043,0.719850545926,45870700,ukr
